,Year,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21
1,1994,0,1,2,4,6,9,13,17,20,20,21,24,29,37,41,44,51,58,63,67,70
2,1995,1,2,3,5,5,7,8,9,9,11,11,11,12,12,14,15,16,17,18,19,19
3,1995,0,1,8,15,16,20,29,41,46,50,58,71,80,94,103,112,119,127,137,142,142
4,1995,0,0,2,6,12,19,34,42,59,73,96,123,151,177,204,243,279,320,356,374,374
5,1996,0,0,0,5,11,14,18,23,25,27,27,28,33,34,38,42,43,46,48,48,48
6,1996,0,1,1,2,3,3,6,6,6,6,6,7,9,9,9,9,9,9,10,10,10
7,1996,0,0,0,1,1,2,3,3,3,7,10,11,12,13,14,15,18,18,19,19,19
8,1997,0,1,2,3,5,5,6,7,7,9,10,15,18,21,24,32,36,41,41,41,41
9,1997,0,3,7,18,25,36,42,52,63,77,85,98,109,120,133,138,147,150,150,150,150
10,1998,0,0,1,1,1,3,5,5,5,5,5,5,6,7,8,8,8,8,8,8,8
11,1998,0,0,3,10,14,22,36,46,60,74,94,111,135,144,159,174,181,181,181,181,181
12,1998,0,0,0,0,0,2,2,4,7,9,11,11,11,11,11,11,11,11,11,11,11
13,1999,0,0,0,0,5,5,8,17,20,26,29,34,40,45,48,52,52,52,52,52,52
14,1999,0,0,0,5,10,15,19,21,28,34,40,46,55,58,66,68,68,68,68,68,68
15,1999,0,2,6,9,19,26,33,52,64,80,86,111,135,155,175,185,185,185,185,185,185
16,2000,0,2,6,18,25,36,48,66,80,102,118,133,151,165,174,174,174,174,174,174,174
17,2001,0,1,1,3,5,10,19,22,25,28,35,44,48,51,51,51,51,51,51,51,51
18,2001,0,1,1,6,11,15,27,37,43,61,74,82,102,112,112,112,112,112,112,112,112
19,2001,1,1,4,10,16,36,50,60,72,89,103,120,139,143,143,143,143,143,143,143,143
20,2001,0,1,4,8,18,25,34,51,64,77,102,125,139,146,146,146,146,146,146,146,146
21,2001,0,0,2,4,4,5,9,11,13,15,16,20,21,23,23,23,23,23,23,23,23
22,2003,1,1,3,6,11,16,21,22,25,29,34,35,35,35,35,35,35,35,35,35,35
23,2003,0,1,4,8,15,25,38,51,67,76,90,98,98,98,98,98,98,98,98,98,98
24,2003,2,12,34,79,147,213,285,377,480,569,650,703,703,703,703,703,703,703,703,703,703
25,2003,0,1,1,2,4,5,5,7,9,13,15,15,15,15,15,15,15,15,15,15,15
26,2005,19,41,60,85,114,150,181,208,237,251,251,251,251,251,251,251,251,251,251,251,251
27,2005,0,0,6,14,24,38,53,64,79,87,87,87,87,87,87,87,87,87,87,87,87
28,2005,0,2,5,10,12,15,24,29,31,33,33,33,33,33,33,33,33,33,33,33,33
29,2007,1,2,4,8,14,21,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25
30,2007,0,0,1,4,12,18,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27
31,2007,0,0,3,9,13,16,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
32,2007,1,5,7,19,31,45,56,65,65,65,65,65,65,65,65,65,65,65,65,65,65
33,2007,1,2,7,17,30,54,71,82,82,82,82,82,82,82,82,82,82,82,82,82,82
34,2008,0,1,7,14,27,39,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
35,2008,0,0,2,7,11,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
36,2008,4,11,15,24,29,38,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
37,2008,1,4,8,19,34,61,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
38,2009,0,4,12,15,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
39,2009,0,4,8,15,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
40,2010,0,0,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
41,2010,1,5,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
42,2010,0,2,4,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
43,2010,0,2,9,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
44,2011,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,2011,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46,2011,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
47,2011,0,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
48,2012,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
49,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2012,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
51,2012,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2012,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
54,2012,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55,2012,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,2012,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
