Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
2003,Survey,MISQ,"Gefen, D., Karahanna, E., and Straub, D. 2003. –Trust and TAM in online shopping: An integrated model,” MIS Quarterly (27:1), pp. 51_90.",1,1,Individual,"Examines how PU, PEOU, and trust in the e-vendorinfluence intentions in the e-commerce environment.",Proxy,Technology as Perception,TAM and Trust,Individual,2056,691,258,703,0.37,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Small,Adds trust in e-vendor to TAM,-,-,Extends TAM by including trust in e-vendor in an intention-based model ,A clear citable empirical relationship (trust as a mediator),10,,3,2010,,,,,,,,,,,,,,2,10,22,45,68,66,72,92,103,89,81,53,22,29,15,18,33,36,,,,,70,83,2003,MIS Quarterly: Management Information Systems,27,1,,51,90,,1996,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0344096683&partnerID=40&md5=72ce5d36357571ec4b3856fb9fc9cfbf,Article,Scopus,2-s2.0-0344096683
1995,Theoretical,MISQ,"Mata, F. J., Fuerst, W. L., & Barney, J. B. (1995). Information Technology and Sustained Competitive Advantage: A Resource-Based Analysis.¾MIS Quarterly,¾19(4), 487-505.",1,,Organization,Shows how 4 aspects of IT can lead to competitive advantage,Tool,Technology as performance,RBV,Organization,,301,170,374,0.45,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,"Develops 4 facets of IT: capital requirements, proprietary technology, technical IT skills and managerial IT skills",,,Develops a concept of IT suitable for combination with the resource based view,"In-depth conceptualization of the link between IT and competetive advantage - doesn't allow for citing an empirical relationship, but allows for citing ""X suggests thatÄ""",18,,4,2009,,,,,,,,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36,18,1,3,3,5,2,25,,,,,6,33,1995,MIS Quarterly: Management Information Systems,19,4,,487,504,,978,,http://www.scopus.com/inward/record.url?eid=2-s2.0-53349102515&partnerID=40&md5=79f21a4d9fb4e5817ace788d23f078eb,Article,Scopus,2-s2.0-53349102515
2000,Qualitative,MISQ,"Majchrzak, A., Rice, R., Malhotra, A., King, N., and Ba, S. 2000. –Technology Adaptation: The Case of a Computer-Supported Inter-Organizational Virtual Team,” MIS Quarterly (24:4), pp. 569_600.",1,3,Group,"Sets out to resolve differences in models of adaptation (i.e. structuration theory, adaptive structuration theory, and the misalignment model) through examining technology  adaptation processes in a computer-supported virtual team",Ensemble,Technology as structure,"Structuration, adaptive structuration, misalingment model",(1) individual<->macro; (2) & (3) group,604,149,89,174,0.51,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Extends AST significantly, but does not alter the underlying logic",-,-,Presents a new model of adaptation processes that integrates their findings with those of several previous models,,13,,4,2009,,,,,,,,,,,,2,4,12,7,11,12,18,14,22,16,15,18,14,9,8,23,20,27,2,18,2,5,1,2,33,75,2000,MIS Quarterly: Management Information Systems,24,4,,569,600,,427,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000388222&partnerID=40&md5=2343e28cb4c9c2363d394e67ce69b5cd,Article,Scopus,2-s2.0-0000388222
1997,Qualitative,MISQ,"Ngwenyama, O. K., & Lee, A. S. (1997). Communication Richness in Electronic Mail: Critical Social Theory and the Contextuality of Meaning.¾MIS Quarterly,¾21(2), 145-167.",0,,Group,Develops an email information richness construct,Ensemble,Technology as embedded system,Critical Social Theory,Group,,98,84,150,0.56,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Creates a new information richness construct,,,Considerable conceptual development based on both theorizing and data,,16,,7,2006,,,,,,,,,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9,3,9,19,6,15,,,,,,,15,34,1997,MIS Quarterly: Management Information Systems,21,2,,145,166,,317,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000395003&partnerID=40&md5=f3789e5bd8aac98c4e4e8e051496ebed,Article,Scopus,2-s2.0-0000395003
2001,Experiment,MISQ,"Piccoli, G., Ahmad, R., and Ives, B. 2001. –Web-Based Virtual Learning Environments: A Research Framework and a Preliminary Assessment of Effectiveness in Basic IT Skills Training,” MIS Quarterly (25:4), pp. 401_426.",1,1,Individual,"This study examines the effectivenss of a web-based virtual learning environment (VLE) vs. computer aided instruction (CAI) in the context of information technology skills training.  Dependent variables are performance, CSE, and satisfaction.",Tool,"Technology as productivity, performance, enhancer",Technology-mediated learning literature,Individual ,655,138,33,146,0.23,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Small,Develops the Virtual Learning Environment construct,-,-,"Extends literature on learning environments by expanding the definition of learning environment (in terms of time, space, and place) to include three further dimensions: technology, interaction, and control.",,12,,3,2010,,,,,,,,,,,,,1,3,4,10,7,9,17,13,13,25,23,14,7,1,13,1,1,18,25,,,,,20,39,2001,MIS Quarterly: Management Information Systems,25,4,,401,426,,471,,http://www.scopus.com/inward/record.url?eid=2-s2.0-9744246033&partnerID=40&md5=5e510b6bf8ad0b46b030766d4e688a0d,Article,Scopus,2-s2.0-9744246033
2001,Survey,ISR,"Sabherwal, R. (2001). Alignment between business and IS strategies: A study of prospectors, analyzers, and defenders. Information systems research, 12(1), 11_33.",1,2,Organization,"Examines the impact of alignment (of IS and business strategies) on perceived performance of defenders, analyzers, and prospectors. If IS strategy is aligned with the business strategies, higher performance is generally to be expected in prospectors and analyzers",Tool,"Technology as productivity, performance, enhancer","Miles & Snow: Defender, Analyzer, and Prospector business strategies",Organization,562,133,78,143,0.55,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Introduces IS for efficiency, flexibility, and comprehensiveness and relate them to the Miles and Snow typology using ""alignment""",-,-,"Combines theories of various IT configurations that are argued to align with defender, analyzer, and prospector strategies",,12,,4,2009,,,,,,,,,,,,1,,3,6,6,20,14,10,12,17,14,17,19,4,12,23,,,,,,,,,12,23,2001,Information Systems Research,12,1,,11,33,,466,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035589929&partnerID=40&md5=9a9b1086a7e81b20fb32cf8cebef84db,Article,Scopus,2-s2.0-0035589929
1995,Theoretical,MISQ,"Leidner, D. E., & Jarvenpaa, S. L. (1995). The Use of Information Technology to Enhance Management School Education: A Theoretical View.¾MIS Quarterly,¾19(3), 265-291.",1,,Individual,Creates a taxonomy of IT impact on learning,Tool,Technology as enhancer,Learning theories,Individual,,92,27,142,0.19,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,"Maps learning to multiple, specific aspects of IT",,,Develops a taxonomy of multiple electronic classroom types,,18,,7,2006,,,,,,,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10,5,4,26,16,35,,,,,,,20,61,1995,MIS Quarterly: Management Information Systems,19,3,,265,291,,397,,http://www.scopus.com/inward/record.url?eid=2-s2.0-53349090877&partnerID=40&md5=4022dfd67ec27d7b0f00a20bcfb3aa3d,Article,Scopus,2-s2.0-53349090877
2001,Quantitative Panel Data,ISR,"Butler, B. S. 2001. –Membership Size, Communication Activity, and Sustainability: A Resource-Based Model of Online Social Structures,” Information Systems Research (12:4), pp. 346_362.",1,2,Group,"Examines if social structures are different online compared to co-located situations, using a resource-based model",Nominal,Technology as absent,Communication theories,Group,394,106,45,112,0.4,Yes,Primary,Exploration,Exploitation,Exploration,Exploration,Extending,Large,Builds a resource-based model of sustainable social structures,-,-,Constructs a theory/ resource-based model on how online communities differ from co-located communities (in terms of social structures),,12,,3,2010,,,,,,,,,,,,,1,,5,5,4,12,10,6,18,13,8,20,10,4,17,,,,,,,,,4,17,2001,Information Systems Research,12,4,,346,362,,334,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035622120&partnerID=40&md5=8938fa5771ed52f06ea6fbd0141b7cc5,Article,Scopus,2-s2.0-0035622120
2003,Qualitative,MISQ,"Lamb, R., and Kling, R. 2003. –Reconceptualizing users as social actors in information systems research,” MIS quarterly (27:2), pp. 197_236.",1,3,Individual,"Theory paper reconceptualizing the concept of ""user"" as a social actor whose social interactions are infused with IT use.",Ensemble,Technology as structure,"Labeling theory, Institutional theory, Structuration",Individual<->Macro,437,97,72,98,0.73,Yes,Primary,Exploration,Exploitation,Exploration,Exploration,Extending,Large,Fashions a new social actor construct for IT context,-,-,"Informed by the 3 source theories, the authors took a data-driven approach to recconptualize the user as a social actor. This could be an exemplar.",,10,,3,2010,,,,,,,,,,,,,,,1,3,4,7,10,13,13,16,9,14,8,4,6,20,23,,,,,,,24,29,2003,MIS Quarterly: Management Information Systems,27,2,,197,236,,320,,http://www.scopus.com/inward/record.url?eid=2-s2.0-4444269660&partnerID=40&md5=d3365fd97cee3964002d9c320996f163,Article,Scopus,2-s2.0-4444269660
2005,Survey,MISQ,"Ahuja, M., and Thatcher, J. 2005. –Moving beyond Intentions and toward the Theory of Trying: Effects of Work Environment and Gender on Post-Adoption Information Technology Use,” MIS Quarterly (29:3), pp. 427_459.",1,2,Individual,"This paper draws on Bagozzi's theory of trying, as well as the theory of reasoned action, to extend understanding of individuals' behavioral attempts to innovate with IT.  ",Proxy,Technology as Perception,Theory of Trying,Individual,235,87,41,87,0.47,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Crafts a new model of a new phenomena using other theories,-,-,"The paper applies the logic of the theory of trying to an IS context, and in the process extends it using constructs based in TRA",,8,,2,2011,,,,,,,,,,,,,,,,,,6,8,10,14,15,11,15,8,9,14,6,16,,,,,,,15,30,2005,MIS Quarterly: Management Information Systems,29,3,,427,459,,248,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33645003633&partnerID=40&md5=ed163a5d11e27f722766560eb33d76e7,Review,Scopus,2-s2.0-33645003633
