"","Year","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"1",2003,0,0,0,0,0,0,0,0,0,2,10,22,45,68,66,72,92,103,89,81
"2",1995,0,0,0,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36
"3",2000,0,0,0,0,0,0,0,2,4,12,7,11,12,18,14,22,16,15,18,14
"4",1997,0,0,0,0,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9
"5",2001,0,0,0,0,0,0,0,0,1,3,4,10,7,9,17,13,13,25,23,14
"6",2001,0,0,0,0,0,0,0,1,0,3,6,6,20,14,10,12,17,14,17,19
"7",1995,0,0,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10
"8",2001,0,0,0,0,0,0,0,0,1,0,5,5,4,12,10,6,18,13,8,20
"9",2003,0,0,0,0,0,0,0,0,0,0,1,3,4,7,10,13,13,16,9,14
"10",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,14,15,11,15
"11",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,10,13,24,17
"12",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,12,12,14,11
"13",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,15,27
"14",1999,0,0,0,0,0,0,0,0,0,5,0,3,9,3,6,3,5,6,5,3
"15",2001,0,0,0,0,0,0,0,0,1,0,2,2,5,9,3,3,3,7,9,4
"16",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,9,5,9
"17",1997,0,0,0,0,1,1,1,2,0,1,1,0,2,1,5,3,3,3,8,4
"18",2003,0,0,0,0,0,0,0,0,0,1,0,2,3,5,5,5,1,3,4,5
"19",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,9
"20",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,7
"21",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,7
"22",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7
"23",1995,0,1,1,1,2,0,2,1,1,0,2,0,0,1,0,2,1,1,1,1
"24",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7
"25",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10
"26",1996,0,0,0,0,0,1,0,1,1,0,0,4,3,1,1,1,1,1,3,0
"27",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1
"28",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"29",1998,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,1,1,0
"30",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"31",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"32",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"33",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"34",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
