Year ,"Classification: instantiation, modifying, or extending",Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2005,Instantiation,2,2011,,,,,,,,,,,,,,,,,11,13,14,23,44,56,51,69,29
1995,Instantiation,5,2008,,,,,,1,5,2,6,7,14,9,8,13,6,15,16,25,15,20,22,17,24,30,13
2005,Instantiation,2,2011,,,,,,,,,,,,,,,,,8,15,20,30,32,41,49,40,25
2006,Instantiation,2,2011,,,,,,,,,,,,,,,,,2,11,18,25,33,38,33,26,58
1994,Instantiation,6,2007,,,,,1,2,5,9,2,6,7,9,11,10,3,10,11,11,18,14,12,8,11,15,7
2007,Instantiation,1,2012,,,,,,,,,,,,,,,,,,1,7,16,28,29,43,36,22
2004,Instantiation,2,2011,,,,,,,,,,,,,,,,1,5,17,12,25,22,22,30,30,17
2005,Instantiation,2,2011,,,,,,,,,,,,,,,,2,7,18,16,13,22,23,26,25,25
1994,Instantiation,6,2007,,,,,,3,2,8,7,6,5,6,14,4,9,9,10,8,10,10,13,13,10,13,11
1998,Instantiation,5,2008,,,,,,,,,,3,2,8,6,4,6,6,15,13,16,22,15,10,12,14,6
2000,Instantiation,4,2009,,,,,,,,,,,,1,2,13,6,4,11,8,17,18,10,20,11,19,12
2002,Instantiation,4,2009,,,,,,,,,,,,,,2,7,8,15,12,20,15,19,18,20,9,6
2002,Instantiation,3,2010,,,,,,,,,,,,,1,1,5,10,12,9,11,16,9,20,24,11,18
1998,Instantiation,4,2009,,,,,,,,,,1,,1,2,8,8,6,11,11,11,21,17,11,9,15,9
1995,Instantiation,8,2005,,,,,,,1,5,4,6,10,11,10,7,6,12,9,6,9,2,7,8,12,7,5
1996,Instantiation,7,2006,,,,,,,,3,2,7,8,8,10,9,7,9,8,10,12,8,10,6,8,7,3
1997,Instantiation,4,2009,,,,,,,,,,1,2,4,3,5,3,2,14,10,8,11,14,7,14,14,8
1996,Instantiation,2,2011,,,,,,,,,,1,5,2,4,1,2,4,5,3,7,13,10,21,19,13,11
1997,Instantiation,3,2010,,,,,,,,,,1,2,1,1,3,2,7,9,6,9,15,6,6,19,16,16
1997,Instantiation,6,2007,,,,,,,,,,1,4,3,5,9,5,11,12,8,9,10,4,14,8,5,5
1996,Instantiation,6,2007,,,,,,,,1,1,5,3,8,1,10,5,8,6,8,7,9,10,6,12,8,4
1996,Instantiation,4,2009,,,,,,,,2,,4,4,3,4,9,3,2,4,8,9,5,9,14,9,11,8
2006,Instantiation,1,2012,,,,,,,,,,,,,,,,,,2,5,11,15,20,17,24,14
2006,Instantiation,2,2011,,,,,,,,,,,,,,,,,,1,8,21,8,16,19,17,15
1999,Instantiation,5,2008,,,,,,,,,,,4,3,2,8,6,7,7,5,11,9,11,12,4,9,3
2000,Instantiation,3,2010,,,,,,,,,,,,1,,2,2,8,5,8,10,5,12,11,15,7,11
2004,Instantiation,3,2010,,,,,,,,,,,,,,,,2,4,7,12,10,16,9,8,16,6
2006,Instantiation,2,2011,,,,,,,,,,,,,,,,,1,6,6,8,11,17,13,20,8
