"","Year","yr01","yr02","yr03","yr04","yr05","yr06","yr07","yr08","yr09","yr10","yr11","yr12","yr13","yr14","yr15","yr16","yr17","yr18","yr19","yr20","yr21"
"1",1994,0,0,0,4,1,3,2,3,2,2,1,1,2,2,3,3,1,5,5,2,1
"2",1994,1,2,5,9,2,6,7,9,11,10,3,10,11,11,18,14,12,8,11,15,7
"3",1994,0,0,1,2,3,6,2,2,2,4,0,2,8,1,2,1,1,1,1,0,1
"4",1994,0,0,2,2,1,0,2,1,1,2,2,0,2,0,1,0,2,2,1,0,0
"5",1994,0,1,1,3,2,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0
"6",1994,0,3,2,8,7,6,5,6,14,4,9,9,10,8,10,10,13,13,10,13,11
"7",1995,0,1,5,4,6,10,11,10,7,6,12,9,6,9,2,7,8,12,7,5,0
"8",1995,1,5,2,6,7,14,9,8,13,6,15,16,25,15,20,22,17,24,30,13,0
"9",1995,0,2,1,2,0,4,5,1,3,2,7,1,5,3,6,4,2,3,7,3,0
"10",1995,0,0,1,3,2,2,0,2,0,0,0,4,3,0,3,2,3,2,3,1,0
"11",1995,0,0,0,1,1,0,0,2,0,1,2,0,0,1,1,0,1,1,0,1,0
"12",1996,0,3,2,7,8,8,10,9,7,9,8,10,12,8,10,6,8,7,3,0,0
"13",1996,0,0,0,1,5,2,4,1,2,4,5,3,7,13,10,21,19,13,11,0,0
"14",1996,0,1,1,5,3,8,1,10,5,8,6,8,7,9,10,6,12,8,4,0,0
"15",1996,0,2,0,4,4,3,4,9,3,2,4,8,9,5,9,14,9,11,8,0,0
"16",1996,1,1,0,1,5,4,5,9,0,1,3,2,2,3,2,2,2,1,4,0,0
"17",1996,0,1,1,2,3,6,4,3,3,1,6,2,2,3,4,2,3,1,0,0,0
"18",1996,0,0,3,1,6,5,1,2,1,2,4,1,2,2,2,4,3,1,3,0,0
"19",1996,0,2,1,2,2,0,0,0,0,0,2,0,3,1,1,0,0,1,0,0,0
"20",1996,0,0,0,2,1,0,1,1,0,1,0,0,1,0,1,0,1,1,2,0,0
"21",1997,0,0,1,2,4,3,5,3,2,14,10,8,11,14,7,14,14,8,0,0,0
"22",1997,0,0,1,2,1,1,3,2,7,9,6,9,15,6,6,19,16,16,0,0,0
"23",1997,0,0,1,4,3,5,9,5,11,12,8,9,10,4,14,8,5,5,0,0,0
"24",1997,0,0,0,0,4,3,4,1,2,2,2,4,3,4,0,1,3,0,0,0,0
"25",1998,0,3,2,8,6,4,6,6,15,13,16,22,15,10,12,14,6,0,0,0,0
"26",1998,0,1,0,1,2,8,8,6,11,11,11,21,17,11,9,15,9,0,0,0,0
"27",1998,0,0,2,2,2,5,2,10,6,6,8,8,7,8,10,3,5,0,0,0,0
"28",1998,2,0,1,1,0,5,5,0,5,6,10,9,2,3,5,5,1,0,0,0,0
"29",1998,0,0,1,3,4,5,5,7,3,6,7,1,3,6,3,4,1,0,0,0,0
"30",1998,0,0,4,3,2,0,3,5,4,5,4,5,7,5,3,5,3,0,0,0,0
"31",1998,0,0,5,3,1,0,3,5,2,3,3,1,4,4,3,1,3,0,0,0,0
"32",1999,0,4,3,2,8,6,7,7,5,11,9,11,12,4,9,3,0,0,0,0,0
"33",1999,0,0,4,1,5,3,3,13,8,7,7,6,6,5,7,5,0,0,0,0,0
"34",1999,2,2,5,0,6,4,6,5,8,2,3,4,4,2,8,4,0,0,0,0,0
"35",1999,0,0,2,0,0,0,4,3,3,5,4,3,2,3,6,5,0,0,0,0,0
"36",1999,0,0,0,0,4,2,1,4,4,4,0,3,4,4,4,0,0,0,0,0,0
"37",1999,0,1,2,1,0,0,0,1,0,0,1,4,2,1,2,1,0,0,0,0,0
"38",1999,0,0,0,2,3,0,1,0,0,0,1,1,2,3,0,1,0,0,0,0,0
"39",2000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"40",2000,0,1,2,13,6,4,11,8,17,18,10,20,11,19,12,0,0,0,0,0,0
"41",2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2000,0,1,0,2,2,8,5,8,10,5,12,11,15,7,11,0,0,0,0,0,0
"43",2000,0,0,0,1,0,1,4,3,4,6,3,3,7,1,0,0,0,0,0,0,0
"44",2000,0,1,1,2,0,3,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0
"45",2001,0,1,3,8,3,6,15,4,5,5,9,11,8,1,0,0,0,0,0,0,0
"46",2001,0,1,0,2,7,7,4,2,6,5,8,5,3,0,0,0,0,0,0,0,0
"47",2001,0,0,0,2,1,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0
"48",2002,0,2,7,8,15,12,20,15,19,18,20,9,6,0,0,0,0,0,0,0,0
"49",2002,1,1,5,10,12,9,11,16,9,20,24,11,18,0,0,0,0,0,0,0,0
"50",2003,0,2,6,3,6,10,6,4,6,6,14,11,0,0,0,0,0,0,0,0,0
"51",2004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"52",2004,0,2,4,7,12,10,16,9,8,16,6,0,0,0,0,0,0,0,0,0,0
"53",2004,0,2,5,6,11,8,6,13,11,8,10,0,0,0,0,0,0,0,0,0,0
"54",2004,0,1,3,5,10,4,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0
"55",2004,0,1,5,17,12,25,22,22,30,30,17,0,0,0,0,0,0,0,0,0,0
"56",2005,0,11,13,14,23,44,56,51,69,29,0,0,0,0,0,0,0,0,0,0,0
"57",2005,0,8,15,20,30,32,41,49,40,25,0,0,0,0,0,0,0,0,0,0,0
"58",2005,0,1,1,1,5,8,7,7,8,6,0,0,0,0,0,0,0,0,0,0,0
"59",2005,0,1,3,5,4,5,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0
"60",2005,0,0,4,1,2,5,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0
"61",2005,2,7,18,16,13,22,23,26,25,25,0,0,0,0,0,0,0,0,0,0,0
"62",2005,0,0,0,0,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"63",2006,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2006,0,2,5,11,15,20,17,24,14,0,0,0,0,0,0,0,0,0,0,0,0
"65",2006,0,1,8,21,8,16,19,17,15,0,0,0,0,0,0,0,0,0,0,0,0
"66",2006,1,6,6,8,11,17,13,20,8,0,0,0,0,0,0,0,0,0,0,0,0
"67",2006,1,3,5,2,9,5,15,18,4,0,0,0,0,0,0,0,0,0,0,0,0
"68",2006,0,0,0,3,9,12,10,14,12,0,0,0,0,0,0,0,0,0,0,0,0
"69",2006,2,11,18,25,33,38,33,26,58,0,0,0,0,0,0,0,0,0,0,0,0
"70",2006,0,3,2,4,5,6,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0
"71",2006,0,1,5,4,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2006,0,1,2,5,2,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",2006,0,1,0,0,5,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2006,1,1,4,2,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2007,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2007,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2007,0,0,1,7,9,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2007,1,7,16,28,29,43,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2007,0,0,0,0,4,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2007,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
