Year ,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Classification: Exploitation/Exploration,Age since 2013,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2003,Gefen; D.; Karahanna; E.; and Straub; D. 2003. ÒTrust and TAM in online shopping: An integrated model;Ó MIS Quarterly (27:1); pp. 51_90.,1,1,Individual,"Examines how PU, PEOU, and trust in the e-vendorinfluence intentions in the e-commerce environment.",Proxy,Technology as Perception,TAM and Trust,Individual,2056,691,258,703,0.37,Exploration,10,,,,,,,,,,,,,,2,10,22,45,68,66,72,92,103,89,81,53
2000,Bharadwaj; A. (2000). A resource-based perspective on information technology capability and firm performance: an empirical investigation. MIS Quarterly; 24(1); 169_196.,1,2,Firm,Applies the logic of the resource based view to justify the link between IT capabilities and firm performance.,Tool,"technology as productivity, performance, enhancer",resource-based view,Firm,1935,467,213,511,0.42,Exploration,13,,,,,,,,,,,,3,5,17,19,20,39,41,45,51,66,65,58,61,21
1995,Mata; F. J.; Fuerst; W. L.; & Barney; J. B. (1995). Information Technology and Sustained Competitive Advantage: A Resource-Based Analysis.ÊMIS Quarterly;Ê19(4); 487-505.,1,,Organization,Shows how 4 aspects of IT can lead to competitive advantage,Tool,Technology as performance,RBV,Organization,,301,170,374,0.45,Exploration,18,,,,,,,,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36,18
1997,Gefen; D.; & Straub; D. W. (1997). Gender Differences in the Perception and Use of E-Mail: An Extension to the Technology Acceptance Model.ÊMIS Quarterly;Ê21(4); 389-400.,1,,Individual,Tests moderation of TAM by gender,Proxy,Technology as perception,TAM,Individual,,287,122,367,0.33,Exploration,16,,,,,,,,,1,2,10,12,15,22,18,21,23,31,29,36,36,37,24,23,27
2005,Kankanhalli; A.; Tan; B.; and Wei; K. 2005. ÒContributing Knowledge to Electronic Knowledge Repositories: An Empirical Investigation;Ó MIS Quarterly (29:1); pp. 113_143.,1,2,Individual,"This paper tests a model to explain how usage of electronic knowledge repositories is affected by individuals' perceptions of costs and benefits of use.  IVs: Loss of knowledge power, codification effort, organizational reward, image, reciprocity, knowledge self-efficacy, and enjoyment in helping others. DV: EKR usage by knowledge contributions.",Proxy,Technology as Perception,Social Exchange Theory,"Individual, Group, and Organization",773,249,133,310,0.43,Exploitation,8,,,,,,,,,,,,,,,,,11,13,14,23,44,56,51,69,29
2005,Palmer; J. W. 2005. ÒWeb Site Usability; Design; and Performance Metrics;Ó Information Systems Research (13:2); pp. 151_167.,1,3,Individual,"Defines constructs to measure website success, including download delay, navigability, site content, interactivity, and responsiveness",Tool,Technology as performance,Usability theory and media richness theory,Individual,868,251,97,270,0.36,Exploration,8,,,,,,,,,,,,,2,5,12,19,22,19,25,29,36,31,27,29,14
1995,Barua; A.; Kriebel; C. H.; and Mukhopadhyay; T. 1995. ÒInformation Technologies and Business Value: An Analytic and Empirical Investigation;Ó Information Systems Research (6:1); pp. 3_23.,1,,Organization,Proposes a process-oriented methodology for auditing IT impacts on SBU's relative to an industry index,Proxy,Technology as performance,Microeconomic theory,Organization,,106,136,268,0.51,Exploitation,18,,,,,,1,5,2,6,7,14,9,8,13,6,15,16,25,15,20,22,17,24,30,13
2005,Wixom; B. H.; & Todd; P. A. (2005). A Theoretical Integration of User Satisfaction and Technology Acceptance. Information Systems Research; 16(1); 85_102. doi:10.1287/isre.1050.0042,1,1,Individual,Creates a model that integrates TAM and user satisfaction theory,Proxy,technology as perception,"TAM, User satisfaction theory",Individual,664,260,92,260,0.35,Exploitation,8,,,,,,,,,,,,,,,,,8,15,20,30,32,41,49,40,25
2006,Pavlou; P.; and Fygenson; M. 2006. ÒUNDERSTANDING AND PREDICTING ELECTRONIC COMMERCE ADOPTION: AN EXTENSION OF THE THEORY OF PLANNED BEHAVIOR;Ó MIS Quarterly (30:1); pp. 115_143.,1,,Individual,"""This paper extends AjzenÕs (1991) theory of planned behavior (TPB) to explain and predict the process of e-commerce adoption by consumers. The process is captured through two online consumer behaviors: (1) getting information and (2) purchasing a product from a Web vendor.""",Proxy,Technology as Perception,Theory of Planned Behavior,Individual,,244,82,248,0.33,Exploitation,7,,,,,,,,,,,,,,,,,2,11,18,25,33,38,33,26,58
1999,Armstrong; C. P.; and Sambamurthy; V. 1999. ÒInformation Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures;Ó Information Systems Research (10:4); pp. 304_327.,1,2,Organization,Builds a model of the effects of IT infrastructure and senior leadership on IT assimilation,Proxy,Technology as perception,RBV+knowledge based view,Organization,567,159,102,185,0.55,Exploration,14,,,,,,,,,,,2,4,3,10,7,7,19,12,16,6,25,24,20,20,10
