Year ,"Classification: instantiation, modifying, or extending",Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1994,Modifying,7,2006,,,,,,1,3,4,1,6,2,6,6,3,3,2,13,5,4,3,5,8,9,5,4
1994,Modifying,8,2005,,,,,,,1,5,2,6,5,2,2,5,2,4,3,5,7,2,5,5,1,,2
1996,Modifying,4,2009,,,,,,,,,5,4,10,6,4,4,4,7,6,12,10,15,16,19,10,12,13
1995,Modifying,14,1999,,,,,,,,,2,1,,,,,,,1,,1,,,,,1,
1996,Modifying,9,2004,,,,,,,,,,5,6,3,4,5,2,2,,1,5,1,4,4,1,3,2
1997,Modifying,5,2008,,,,,,,,,1,2,10,12,15,22,18,21,23,31,29,36,36,37,24,23,27
1996,Modifying,11,2002,,,,,,,,1,,1,1,,3,,,,,1,2,,,,,,1
1998,Modifying,5,2008,,,,,,,,,,,3,7,4,8,14,10,14,14,20,17,24,9,15,15,7
1998,Modifying,5,2008,,,,,,,,,,,2,1,6,0,2,5,4,4,3,6,2,6,3,6,2
1998,Modifying,7,2006,,,,,,,,,,,,,,2,,2,3,2,2,,,,,,
1998,Modifying,5,2008,,,,,,,,,,,3,,2,4,5,6,5,7,2,3,7,4,10,6,3
1998,Modifying,7,2006,,,,,,,,,,,,2,,2,4,2,2,2,3,,,3,,3,
1999,Modifying,5,2008,,,,,,,,,,,,,5,5,5,4,2,7,6,6,6,9,3,8,2
1999,Modifying,5,2008,,,,,,,,,,,,2,2,,,3,9,5,4,4,2,6,2,2,4
1999,Modifying,3,2010,,,,,,,,,,,2,4,3,10,7,7,19,12,16,6,25,24,20,20,10
2000,Modifying,3,2010,,,,,,,,,,,,3,5,17,19,20,39,41,45,51,66,65,58,61,21
2000,Modifying,6,2007,,,,,,,,,,,,,2,4,4,4,1,5,2,2,3,2,3,1,1
2001,Modifying,4,2009,,,,,,,,,,,,,1,4,1,5,6,6,10,15,16,7,4,4,2
2002,Modifying,3,2010,,,,,,,,,,,,,,,1,3,2,7,5,5,6,6,7,12,3
2004,Modifying,3,2010,,,,,,,,,,,,,,,,,4,10,7,14,19,10,17,12,4
2005,Modifying,2,2011,,,,,,,,,,,,,,,,,2,3,5,2,3,9,5,2,2
2001,Modifying,4,2009,,,,,,,,,,,,,,2,2,,1,4,2,2,2,1,4,1,2
2002,Modifying,4,2009,,,,,,,,,,,,,1,1,5,12,15,17,13,21,20,21,10,18,9
2002,Modifying,5,2008,,,,,,,,,,,,,2,2,5,6,8,6,11,7,8,10,4,10,1
2003,Modifying,3,2010,,,,,,,,,,,,,,,1,1,2,4,8,4,6,2,7,6,
2003,Modifying,2,2011,,,,,,,,,,,,,,,1,,1,2,1,,2,2,4,2,
2004,Modifying,3,2010,,,,,,,,,,,,,,,,2,5,6,11,8,6,13,11,8,5
2005,Modifying,3,2010,,,,,,,,,,,,,2,5,12,19,22,19,25,29,36,31,27,29,14
2007,Modifying,2,2011,,,,,,,,,,,,,,,,,,1,1,2,4,6,7,2,2
2008,Modifying,1,2012,,,,,,,,,,,,,,,,,,,,3,9,13,21,17,7
2005,Modifying,2,2011,,,,,,,,,,,,,,,,,,2,6,2,3,5,4,8,5
2007,Modifying,1,2012,,,,,,,,,,,,,,,,,,,,1,3,8,6,6,3
2009,Modifying,1,2012,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1
2008,Modifying,1,2012,,,,,,,,,,,,,,,,,,,,1,6,7,13,12,4
2009,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2011,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,2,6,3
2011,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,3,2
2012,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,2
2012,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,3,
2012,Modifying,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Modifying,-1,2014,,,,,,,,,,,,,,,,,,,,,,,,2,4
2012,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,1
1994,Modifying,6,2007,,,,,,1,1,2,2,3,4,4,3,,1,3,5,8,4,3,7,7,5,4,3
1998,Modifying,7,2006,,,,,,,,,1,,1,,,3,3,1,5,2,4,,,1,1,1,
2004,Modifying,2,2011,,,,,,,,,,,,,,,,,3,4,5,14,6,7,12,16,6
1997,Modifying,8,2005,,,,,,,,,,,,1,,,1,2,1,,,,,,,,
2011,Modifying,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,1
2006,Modifying,2,2011,,,,,,,,,,,,,,,,,,1,2,3,6,5,5,7,3
2008,Modifying,1,2012,,,,,,,,,,,,,,,,,,,1,,,1,2,1,1
