"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","type","h_index"
"1",0,1,4,8,9,15,17,23,29,32,35,37,50,55,59,62,67,75,84,89,"Exploration",76.5
"2",0,1,2,4,6,9,13,17,20,20,21,24,29,37,41,44,51,58,63,67,"Exploration",19.5
"3",0,0,1,6,8,14,19,21,23,28,30,34,37,42,49,51,56,61,62,62,"Exploration",54
"4",0,0,2,6,12,19,34,42,59,73,96,123,151,177,204,243,279,320,356,356,"Exploration",24.5
"5",0,0,0,2,3,3,3,3,3,3,3,4,4,5,5,5,5,5,6,6,"Exploration",29.5
"6",1,1,2,4,4,6,7,8,8,10,10,10,11,11,13,14,15,16,17,17,"Exploration",17.5
"7",0,1,8,15,16,20,29,41,46,50,58,71,80,94,103,112,119,127,137,137,"Exploration",40.5
"8",0,0,5,9,19,25,29,33,37,44,50,62,72,87,103,122,132,144,144,144,"Exploration",10.5
"9",0,0,0,5,11,14,18,23,25,27,27,28,33,34,38,42,43,46,46,46,"Exploration",26.5
"10",0,1,1,2,3,3,6,6,6,6,6,7,9,9,9,9,9,9,9,9,"Exploration",22.5
"11",0,0,0,1,1,2,3,3,3,7,10,11,12,13,14,15,18,18,18,18,"Exploration",18
"12",0,1,3,13,25,40,62,80,101,124,155,184,220,256,293,317,340,340,340,340,"Exploration",18.5
"13",0,1,2,3,5,5,6,7,7,9,10,15,18,21,24,32,36,36,36,36,"Exploration",28
"14",0,0,0,0,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,"Exploration",44.5
"15",0,3,7,18,25,36,42,52,63,77,85,98,109,120,133,138,147,147,147,147,"Exploration",8.5
"16",0,0,3,10,14,22,36,46,60,74,94,111,135,144,159,174,174,174,174,174,"Exploration",22.5
"17",0,0,3,3,5,9,14,20,25,32,34,37,44,48,58,64,64,64,64,64,"Exploration",10
"18",0,0,2,3,9,9,11,16,20,24,27,33,35,41,44,50,50,50,50,50,"Exploration",54.5
"19",0,0,0,2,2,4,8,10,12,14,17,17,17,20,20,23,23,23,23,23,"Exploration",43.5
"20",1,0,1,1,1,4,7,8,13,15,19,19,19,20,21,22,22,22,22,22,"Exploration",23.5
"21",0,0,0,0,0,2,2,4,7,9,11,11,11,11,11,11,11,11,11,11,"Exploration",40.5
"22",0,0,1,1,1,3,5,5,5,5,5,5,6,7,8,8,8,8,8,8,"Exploration",24
"23",0,0,0,0,5,5,8,17,20,26,29,34,40,45,48,48,48,48,48,48,"Exploration",8
"24",0,2,6,9,19,26,33,52,64,80,86,111,135,155,175,175,175,175,175,175,"Exploration",48.5
"25",0,0,0,5,10,15,19,21,28,34,40,46,55,58,66,66,66,66,66,66,"Exploration",38
"26",0,0,2,4,4,4,7,16,21,25,29,31,37,39,41,41,41,41,41,41,"Exploration",15
"27",0,3,8,25,44,64,103,144,189,240,306,371,429,490,490,490,490,490,490,490,"Exploration",26
"28",0,0,2,6,10,14,15,20,22,24,27,29,32,33,33,33,33,33,33,33,"Exploration",55.5
"29",0,2,6,18,25,36,48,66,80,102,118,133,151,165,165,165,165,165,165,165,"Exploration",14
"30",0,1,1,3,5,10,19,22,25,28,35,44,48,48,48,48,48,48,48,48,"Exploration",62
"31",0,1,5,6,11,17,23,33,48,64,71,75,79,79,79,79,79,79,79,79,"Exploration",31.5
"32",0,0,2,4,4,5,9,11,13,15,16,20,21,21,21,21,21,21,21,21,"Exploration",48.5
"33",0,1,4,8,18,25,34,51,64,77,102,125,139,139,139,139,139,139,139,139,"Exploration",20
"34",1,0,3,9,15,35,49,59,71,88,102,119,138,138,138,138,138,138,138,138,"Exploration",36
"35",0,1,1,6,11,15,27,37,43,61,74,82,102,102,102,102,102,102,102,102,"Exploration",61
"36",1,1,6,18,33,50,63,84,104,125,135,153,153,153,153,153,153,153,153,153,"Exploration",7.5
"37",2,2,7,13,21,27,38,45,53,63,67,77,77,77,77,77,77,77,77,77,"Exploration",27
"38",0,0,1,4,6,13,18,23,29,35,42,54,54,54,54,54,54,54,54,54,"Exploration",7
"39",2,10,32,77,145,211,283,375,478,567,648,648,648,648,648,648,648,648,648,648,"Exploration",39.5
"40",1,0,2,5,10,15,20,21,24,28,33,33,33,33,33,33,33,33,33,33,"Exploration",14.5
"41",0,1,2,4,8,16,20,26,28,35,41,41,41,41,41,41,41,41,41,41,"Exploration",19
"42",0,1,1,2,4,5,5,7,9,13,15,15,15,15,15,15,15,15,15,15,"Exploration",11
"43",0,1,4,8,15,25,38,51,67,76,90,90,90,90,90,90,90,90,90,90,"Exploration",7
"44",0,0,4,14,21,35,54,64,81,93,93,93,93,93,93,93,93,93,93,93,"Exploration",16.5
"45",0,2,7,13,24,32,38,51,62,70,70,70,70,70,70,70,70,70,70,70,"Exploration",25
"46",0,0,3,7,12,26,32,39,51,67,67,67,67,67,67,67,67,67,67,67,"Exploration",10.5
"47",0,0,6,14,24,38,53,64,79,79,79,79,79,79,79,79,79,79,79,79,"Exploration",26.5
"48",19,22,41,66,95,131,162,189,218,218,218,218,218,218,218,218,218,218,218,218,"Exploration",10
"49",0,0,2,8,10,13,18,22,30,30,30,30,30,30,30,30,30,30,30,30,"Exploration",36
"50",0,2,5,10,12,15,24,29,31,31,31,31,31,31,31,31,31,31,31,31,"Exploration",13
"51",0,1,3,6,12,17,22,29,29,29,29,29,29,29,29,29,29,29,29,29,"Exploration",35.5
"52",1,1,6,16,29,53,70,70,70,70,70,70,70,70,70,70,70,70,70,70,"Exploration",66.5
"53",1,4,6,18,30,44,55,55,55,55,55,55,55,55,55,55,55,55,55,55,"Exploration",49.5
"54",0,0,1,4,12,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"Exploration",45
"55",1,1,3,7,13,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Exploration",39
"56",0,0,3,9,13,16,23,23,23,23,23,23,23,23,23,23,23,23,23,23,"Exploration",9
"57",1,3,7,18,33,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"Exploration",49
"58",4,7,11,20,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,"Exploration",24
"59",0,3,12,25,46,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,"Exploration",49
"60",0,1,7,14,27,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,"Exploration",52.5
"61",1,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Exploration",14
"62",0,0,2,7,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Exploration",13.5
"63",0,4,8,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"Exploration",10
"64",0,2,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Exploration",37.5
"65",0,4,12,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Exploration",10
"66",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Exploration",33.5
"67",0,2,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Exploration",22.5
"68",0,2,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Exploration",15
"69",1,4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Exploration",13.5
"70",0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Exploration",29.5
"71",0,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Exploration",25.5
"72",0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Exploration",11
"73",0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exploration",17.5
"74",0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Exploration",23
"75",1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Exploration",31
"76",0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Exploration",57.5
"77",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exploration",61.5
"78",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exploration",40.5
"79",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exploration",36
"80",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Exploration",22.5
"81",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Exploration",55.5
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Exploration",23
"83",1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Exploration",2
"84",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exploration",14
"85",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Exploration",45
"86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Exploration",33.5
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Exploration",56
"88",0,0,2,4,5,5,7,8,9,11,13,13,15,15,16,16,18,20,21,21,"Exploitation",65.5
"89",0,1,2,5,7,8,9,9,11,12,12,12,13,14,14,15,15,16,16,16,"Exploitation",37.5
"90",1,2,7,16,18,24,31,40,51,61,64,74,85,96,114,128,140,148,159,174,"Exploitation",11
"91",0,3,5,13,20,26,31,37,51,55,64,73,83,91,101,111,124,137,147,160,"Exploitation",25
"92",0,0,0,4,5,8,10,13,15,17,18,19,21,23,26,29,30,35,40,42,"Exploitation",59.5
"93",0,0,1,3,6,12,14,16,18,22,22,24,32,33,35,36,37,38,39,39,"Exploitation",23.5
"94",0,0,0,1,2,2,2,4,4,5,7,7,7,8,9,9,10,11,11,11,"Exploitation",34
"95",1,5,7,13,20,34,43,51,64,70,85,101,126,141,161,183,200,224,254,254,"Exploitation",49
"96",0,1,6,10,16,26,37,47,54,60,72,81,87,96,98,105,113,125,132,132,"Exploitation",13
"97",0,2,3,5,5,9,14,15,18,20,27,28,33,36,42,46,48,51,58,58,"Exploitation",32.5
"98",0,0,1,4,6,8,8,10,10,10,10,14,17,17,20,22,25,27,30,30,"Exploitation",46
"99",0,2,3,5,7,7,7,7,7,7,9,9,12,13,14,14,14,15,15,15,"Exploitation",40
"100",0,0,0,2,3,3,4,5,5,6,6,6,7,7,8,8,9,10,10,10,"Exploitation",23.5
"101",0,3,5,12,20,28,38,47,54,63,71,81,93,101,111,117,125,132,132,132,"Exploitation",39.5
"102",0,0,0,1,6,8,12,13,15,19,24,27,34,47,57,78,97,110,110,110,"Exploitation",9.5
"103",0,1,2,7,10,18,19,29,34,42,48,56,63,72,82,88,100,108,108,108,"Exploitation",8
"104",0,2,2,6,10,13,17,26,29,31,35,43,52,57,66,80,89,100,100,100,"Exploitation",29
"105",1,1,1,2,7,11,16,25,25,26,29,31,33,36,38,40,42,43,43,43,"Exploitation",36.5
"106",0,1,2,4,7,13,17,20,23,24,30,32,34,37,41,43,46,47,47,47,"Exploitation",21.5
"107",0,0,3,4,10,15,16,18,19,21,25,26,28,30,32,36,39,40,40,40,"Exploitation",39.5
"108",0,0,1,3,7,10,15,18,20,34,44,52,63,77,84,98,112,112,112,112,"Exploitation",27
"109",0,0,1,3,4,5,8,10,17,26,32,41,56,62,68,87,103,103,103,103,"Exploitation",40
"110",0,0,1,5,8,13,22,27,38,50,58,67,77,81,95,103,108,108,108,108,"Exploitation",34.5
"111",0,0,0,0,4,7,11,12,14,16,18,22,25,29,29,30,33,33,33,33,"Exploitation",26
"112",0,3,5,13,19,23,29,35,50,63,79,101,116,126,138,152,152,152,152,152,"Exploitation",8
"113",0,1,1,2,4,12,20,26,37,48,59,80,97,108,117,132,132,132,132,132,"Exploitation",7
"114",0,0,2,4,6,11,13,23,29,35,43,51,58,66,76,79,79,79,79,79,"Exploitation",23
"115",2,0,1,2,2,7,12,12,17,23,33,42,44,47,52,57,57,57,57,57,"Exploitation",30
"116",0,0,1,4,8,13,18,25,28,34,41,42,45,51,54,58,58,58,58,58,"Exploitation",13
"117",0,0,4,7,9,9,12,17,21,26,30,35,42,47,50,55,55,55,55,55,"Exploitation",36
"118",0,0,5,8,9,9,12,17,19,22,25,26,30,34,37,38,38,38,38,38,"Exploitation",62
"119",0,1,3,4,4,4,4,5,5,5,6,10,12,13,15,15,15,15,15,15,"Exploitation",7.5
"120",0,0,0,2,5,5,6,6,6,6,7,8,10,13,13,13,13,13,13,13,"Exploitation",56.5
"121",0,4,7,9,17,23,30,37,42,53,62,73,85,89,98,98,98,98,98,98,"Exploitation",43
"122",0,0,4,5,10,13,16,29,37,44,51,57,63,68,75,75,75,75,75,75,"Exploitation",55
"123",2,2,7,7,13,17,23,28,36,38,41,45,49,51,59,59,59,59,59,59,"Exploitation",19
"124",0,0,2,2,2,2,6,9,12,17,21,24,26,29,35,35,35,35,35,35,"Exploitation",37
"125",0,0,0,0,4,6,7,11,15,19,19,22,26,30,34,34,34,34,34,34,"Exploitation",12.5
"126",0,1,2,4,4,7,7,7,7,11,12,12,13,14,14,14,14,14,14,14,"Exploitation",18.5
"127",0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,"Exploitation",14
"128",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Exploitation",22
"129",0,1,3,16,22,26,37,45,62,80,90,110,121,140,140,140,140,140,140,140,"Exploitation",31.5
"130",0,1,1,3,5,13,18,26,36,41,53,64,79,86,86,86,86,86,86,86,"Exploitation",40
"131",0,0,0,1,1,2,6,9,13,19,22,25,32,33,33,33,33,33,33,33,"Exploitation",11
"132",0,0,0,2,3,3,3,5,6,7,7,8,9,9,9,9,9,9,9,9,"Exploitation",50.5
"133",0,1,4,12,15,21,36,40,45,50,59,70,78,78,78,78,78,78,78,78,"Exploitation",22.5
"134",0,1,1,3,10,17,21,23,29,34,42,47,50,50,50,50,50,50,50,50,"Exploitation",2.5
"135",0,2,9,17,32,44,64,79,98,116,136,145,145,145,145,145,145,145,145,145,"Exploitation",32
"136",1,1,6,16,28,37,48,64,73,93,117,128,128,128,128,128,128,128,128,128,"Exploitation",28.5
"137",0,2,8,11,17,27,33,37,43,49,63,63,63,63,63,63,63,63,63,63,"Exploitation",54
"138",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"Exploitation",34.5
"139",0,1,6,23,35,60,82,104,134,164,164,164,164,164,164,164,164,164,164,164,"Exploitation",9.5
"140",0,2,6,13,25,35,51,60,68,84,84,84,84,84,84,84,84,84,84,84,"Exploitation",16.5
"141",0,2,7,13,24,32,38,51,62,70,70,70,70,70,70,70,70,70,70,70,"Exploitation",3.5
"142",0,1,4,9,19,23,32,34,38,41,41,41,41,41,41,41,41,41,41,41,"Exploitation",11
"143",0,0,4,5,7,12,18,23,26,26,26,26,26,26,26,26,26,26,26,26,"Exploitation",38
"144",0,0,0,0,1,1,4,8,10,10,10,10,10,10,10,10,10,10,10,10,"Exploitation",11
"145",0,11,24,38,61,105,161,212,281,281,281,281,281,281,281,281,281,281,281,281,"Exploitation",75
"146",0,8,23,43,73,105,146,195,235,235,235,235,235,235,235,235,235,235,235,235,"Exploitation",53.5
"147",2,7,25,41,54,76,99,125,150,150,150,150,150,150,150,150,150,150,150,150,"Exploitation",51
"148",0,1,2,3,8,16,23,30,38,38,38,38,38,38,38,38,38,38,38,38,"Exploitation",15
"149",0,1,4,9,13,18,22,29,36,36,36,36,36,36,36,36,36,36,36,36,"Exploitation",79.5
"150",0,1,3,8,10,14,21,24,24,24,24,24,24,24,24,24,24,24,24,24,"Exploitation",42
"151",0,1,6,10,13,16,19,25,25,25,25,25,25,25,25,25,25,25,25,25,"Exploitation",7.5
"152",0,1,1,1,6,11,17,24,24,24,24,24,24,24,24,24,24,24,24,24,"Exploitation",30.5
"153",1,1,5,7,10,13,17,18,18,18,18,18,18,18,18,18,18,18,18,18,"Exploitation",16
"154",0,0,0,1,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Exploitation",27.5
"155",2,11,29,54,87,125,158,184,184,184,184,184,184,184,184,184,184,184,184,184,"Exploitation",31.5
"156",0,2,7,18,33,53,70,94,94,94,94,94,94,94,94,94,94,94,94,94,"Exploitation",54.5
"157",0,1,9,30,38,54,73,90,90,90,90,90,90,90,90,90,90,90,90,90,"Exploitation",44
"158",1,6,12,20,31,48,61,81,81,81,81,81,81,81,81,81,81,81,81,81,"Exploitation",11.5
"159",1,3,8,10,19,24,39,57,57,57,57,57,57,57,57,57,57,57,57,57,"Exploitation",17
"160",0,0,0,3,12,24,34,48,48,48,48,48,48,48,48,48,48,48,48,48,"Exploitation",36
"161",0,3,5,9,14,20,28,36,36,36,36,36,36,36,36,36,36,36,36,36,"Exploitation",43.5
